epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.4553864530895066,0.8922501382620438,1.1262726389843485,0.9998,1.0,1.0,1.0,1.0,1.0,0.9994,1.0,1.0,1.4083043336868286,0.8566237119111147,1.1033612435514277,0.9317,0.7391304347826086,0.7714285714285714,0.7611111111111111,0.9503968253968254,0.9910714285714286,0.8839,0.9111,1.0,0.0005
2,0.9998127315355384,0.6421618523805038,0.7153017567551654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.286315217614174,0.7601917772130533,1.0522468767382882,0.9711,0.7391304347826086,0.7857142857142857,0.7424242424242424,0.9649148913951545,0.9464285714285714,0.9375,0.9889,0.9868,0.0005
3,0.7357979556788569,0.4833030871723009,0.5049897434918776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1217388307506388,0.6887380196289583,0.8660016120834784,0.9667,0.8695652173913043,0.8660714285714286,0.868641774891775,0.9805398913951545,1.0,0.9375,0.9889,0.9737,0.0005
4,0.5511261527952941,0.363200676182042,0.37585095529970913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2827539389783686,0.7300989021631804,1.1053100648251446,0.9533,0.6521739130434783,0.6857142857142857,0.6319444444444444,0.9582680659983293,0.9732142857142856,0.9286,0.9444,0.9868,0.0005
5,0.4584381766941236,0.29577325984187747,0.3253298344819442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2322802875529637,0.7147080623968081,1.035144454376264,0.9562,0.7391304347826086,0.7446428571428572,0.7582070707070707,0.9693791771094402,1.0,0.8929,0.9889,0.9868,0.0005
6,0.38367174552834554,0.23987336068049722,0.28759676995484723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3024394816972993,0.7380512444810434,1.1287764751098373,0.9765,0.7391304347826086,0.7446428571428572,0.7439327485380116,0.9734492481203006,0.9553571428571428,0.9821,1.0,0.9474,0.0005
7,0.3287818898325381,0.19654222584289052,0.26447932836802107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4393072494051673,0.8363607160069726,1.2058930644257502,0.9632,0.782608695652174,0.7803571428571429,0.8025366446419078,0.958999060150376,0.9375,0.9554,1.0,0.9342,0.0005
8,0.2876241435175357,0.16547489075557045,0.24429850824501204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.20653920146552,0.668861597776413,1.075355195186355,0.9821,0.8260869565217391,0.8571428571428571,0.8318181818181818,0.9866071428571428,1.0,0.9464,1.0,1.0,0.00025
9,0.25906442520411116,0.1436401974895726,0.23084845465162526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.271373481235721,0.7140228482471271,1.114701284603639,0.9658,0.8260869565217391,0.8571428571428571,0.8415404040404041,0.9654605263157895,0.9642857142857143,0.9107,1.0,0.9868,0.00025
10,0.24081527849902276,0.128546193630799,0.22453817142092664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3992987769571217,0.783256652510979,1.2320842241699046,0.9585,0.782608695652174,0.8214285714285714,0.7875000000000001,0.9577067669172933,0.9553571428571428,0.9018,1.0,0.9737,0.00025
11,0.23138336396735648,0.11935063438571018,0.224065458515416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3281859156082978,0.7490811796689575,1.1582094651054253,0.9718,0.7391304347826086,0.7446428571428572,0.7615079365079365,0.9743890977443609,0.9732142857142857,0.9286,1.0,0.9868,0.00025
12,0.2168785106876622,0.10777677647445513,0.21820346894471543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3481525155630978,0.7716143539344723,1.1530763324011455,0.9807,0.8695652173913043,0.8928571428571428,0.8923076923076924,0.9766212406015038,0.9732142857142856,0.9554,1.0,0.9868,0.000125
13,0.21301229699798252,0.1038581009792245,0.21830839229666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.407528580251065,0.7933843596415087,1.2282884513789958,0.9658,0.8260869565217391,0.8303571428571428,0.8405483405483406,0.9654605263157895,0.9642857142857143,0.9107,1.0,0.9868,0.000125
14,0.20618182472560717,0.09801188247359317,0.2163398846336033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3937853324142369,0.7866607293147933,1.2142492116174914,0.9734,0.782608695652174,0.8214285714285714,0.7876623376623377,0.977796052631579,1.0,0.9464,1.0,0.9737,0.000125
15,0.19989200234413146,0.09260264848885329,0.2145787071922551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3853497427295556,0.785933756692843,1.198831988329237,0.9777,0.9130434782608695,0.9285714285714286,0.9172771672771672,0.9855498120300752,0.9910714285714286,0.9464,1.0,0.9868,0.000125
16,0.19582727253437043,0.08894167594287707,0.2137711920168089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3960939036174254,0.7893058351156387,1.2135761346329341,0.9704,0.8260869565217391,0.8428571428571429,0.8484848484848485,0.9755639097744362,0.9910714285714286,0.9375,1.0,0.9737,6.25e-05
