epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.5599574161612468,0.9461533074793609,1.2276082194369773,0.9909,0.8913043478260869,0.9100274725274725,0.8953416814298608,0.9873434293953595,0.9801864801864802,0.9743,1.0,0.9984,1.3554208549586209,0.8422472057017413,1.026347291740504,0.9146,0.8260869565217391,0.8428571428571429,0.8271173271173271,0.942063492063492,1.0,0.8661,0.9,0.9778,0.0005
2,1.0758029414259869,0.6786934785220934,0.7942189232162807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2097029225392775,0.7772109305316751,0.8649839921431108,0.9428,0.782608695652174,0.7785714285714286,0.7756410256410255,0.9593253968253969,1.0,0.8839,0.9667,0.9778,0.0005
3,0.7661720073741415,0.4998064134431922,0.5327311873435974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0485594042322852,0.6861577514897693,0.7248033183542165,0.9629,0.8695652173913043,0.85,0.85625,0.9721726190476191,1.0,0.9554,0.9556,0.9778,0.0005
4,0.5896065219588902,0.3874548860218214,0.40430326850517934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.026630080559037,0.6759825223548845,0.7012951306321404,0.8585,0.8695652173913043,0.85,0.8656045751633987,0.9632936507936509,1.0,0.9643,0.8889,0.7222,0.0005
5,0.49013601282368535,0.3167439209378284,0.3467841853266177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9687578346241604,0.6355664858763869,0.6663827069781043,0.894,0.8695652173913043,0.85,0.8656045751633987,0.9621527777777779,1.0,0.9375,0.8778,0.8667,0.0005
6,0.3860112936600395,0.2433884789114413,0.2852456282014432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.099821451035413,0.7047278213907372,0.790187250145457,0.9073,0.782608695652174,0.7785714285714286,0.7785714285714286,0.9415674603174602,1.0,0.9107,0.8556,0.9556,0.0005
7,0.3326562218044115,0.20010086323903956,0.2651107166124427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0819391310214996,0.7126952653581445,0.7384877225214784,0.8615,0.8695652173913043,0.85,0.85625,0.9321924603174603,1.0,0.9732,0.9556,0.6556,0.0005
8,0.28951233962307804,0.1654680001994838,0.24808867897676384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.235953120684082,0.7777316587215121,0.9164429364556615,0.9058,0.782608695652174,0.7726190476190476,0.7926322043969102,0.946577380952381,1.0,0.9286,0.8333,0.9556,0.0005
9,0.25769104244916335,0.13834999423959982,0.23868209706700366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9752869839695367,0.591065080667084,0.7684438008476387,0.8895,0.8695652173913043,0.8785714285714286,0.8728632478632479,0.9371031746031746,1.0,0.9018,0.8111,0.9556,0.0005
10,0.2236553606779679,0.113009122337984,0.22129247784614564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0526693361726673,0.6617629143663428,0.7818128744309599,0.9132,0.8260869565217391,0.8285714285714285,0.8326118326118326,0.9432539682539682,1.0,0.9286,0.8444,0.9667,0.00025
11,0.2096934138432793,0.1012049816224886,0.2169768654781839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.092349641702392,0.708337336439978,0.7680245983329687,0.9102,0.8695652173913043,0.8642857142857143,0.8722222222222222,0.9382440476190477,1.0,0.9196,0.8444,0.9667,0.00025
