epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.5587682350822116,0.9465227412140887,1.224490977888522,0.9893,0.9130434782608695,0.9243131868131869,0.921817506956826,0.9829408872377623,0.9656177156177157,0.9805,0.9875,1.0,1.3573426726189526,0.8405936455184763,1.0334980514916507,0.9387,0.8260869565217391,0.8452380952380952,0.8452380952380952,0.9538252801120448,0.9901960784313726,0.875,0.9412,1.0,0.0005
2,1.073373190216396,0.6777347886044046,0.7912768146266108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1808814162557775,0.7406951053576036,0.8803726245056499,0.8982,0.8260869565217391,0.8511904761904762,0.8247086247086246,0.9283525910364145,1.0,0.7143,0.9804,1.0,0.0005
3,0.7947143342183984,0.5172684832759525,0.5548916969610297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9908398958769712,0.6213367290117524,0.739006335762414,0.964,0.782608695652174,0.8095238095238095,0.7894522144522145,0.9729954481792717,0.9901960784313726,0.9018,0.9902,1.0,0.0005
4,0.6236550486606101,0.40868599207504935,0.4299381196498871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9434204365719449,0.5850511870600961,0.7167384936050936,0.9563,0.8260869565217391,0.8452380952380952,0.8363997113997114,0.971500442282176,0.9901960784313726,0.9018,0.9804,0.9868,0.0005
5,0.5063043835370437,0.32940404466960743,0.3538006738476131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8821072293953462,0.5409937626258894,0.6822269355708902,0.9458,0.8695652173913043,0.886904761904762,0.8725718725718726,0.9727766106442577,0.9901960784313726,0.8571,0.9804,1.0,0.0005
6,0.41450801310331925,0.26221828162670135,0.30457946321238644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8847191794352098,0.5341834236275066,0.7010715194046497,0.9137,0.8260869565217391,0.8511904761904762,0.8257575757575757,0.9553571428571428,1.0,0.7411,1.0,1.0,0.0005
7,0.34334548115730285,0.2091009450995404,0.26848907224510027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9890473925254561,0.5784442607652057,0.8212062645364891,0.9137,0.782608695652174,0.8095238095238095,0.7894522144522145,0.9551383053221288,0.9901960784313726,0.7411,1.0,1.0,0.0005
8,0.30871316738750626,0.17946596961954367,0.25849439722040424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9635068323801864,0.5522925211963329,0.8224286189810797,0.9494,0.8260869565217391,0.8511904761904762,0.8257575757575757,0.9707633053221288,0.9901960784313726,0.8482,1.0,1.0,0.0005
9,0.2637263228063998,0.14428678316914517,0.23887907888578333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8595105900683186,0.4937394070015712,0.7315423593602397,0.9756,0.8260869565217391,0.8452380952380952,0.8363997113997114,0.9792542016806722,0.9901960784313726,0.9464,0.9804,1.0,0.0005
10,0.26588761340016903,0.14135552281918734,0.24906418245771658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9096855704079975,0.5195383556525816,0.7802944220602512,0.9792,0.8260869565217391,0.8452380952380952,0.8331168831168831,0.9794730392156863,0.9803921568627452,0.9375,1.0,1.0,0.0005
11,0.25356911070968796,0.12884757784397705,0.24944306663844895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7782215018841353,0.4505024686117064,0.6554380831393328,0.9789,0.8695652173913043,0.8809523809523809,0.8767676767676768,0.9866071428571428,1.0,0.9464,0.9902,1.0,0.0005
12,0.21157828673072485,0.09778748420269592,0.22758160609266032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9564188529144634,0.5617253620346839,0.7893870022486557,0.9756,0.8260869565217391,0.8452380952380952,0.8363997113997114,0.9792542016806722,0.9901960784313726,0.9464,0.9804,1.0,0.0005
13,0.20137171836003012,0.08775368786376456,0.22723606267701024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0742560885846615,0.6218657342039726,0.9047807275571607,0.9762,0.782608695652174,0.8095238095238095,0.7894522144522145,0.9841561624649859,0.9901960784313726,0.9286,1.0,1.0,0.0005
14,0.18971141654512155,0.07805501815417538,0.22331279723540595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0531844300302593,0.6184636442498728,0.8694415732540868,0.9756,0.8260869565217391,0.8452380952380952,0.8363997113997114,0.9792542016806722,0.9901960784313726,0.9464,0.9804,1.0,0.0005
15,0.20520644162012183,0.0852474828777106,0.2399179150228915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0366504531015048,0.6115357778458432,0.8502293367954817,0.9339,0.8260869565217391,0.8452380952380952,0.8363997113997114,0.9725577731092437,0.9901960784313726,0.8214,0.9804,1.0,0.0005
