epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.6960978300675102,1.0223130604495172,1.3475695392359859,0.9107,0.6739130434782609,0.6538865546218486,0.6373244641537325,0.9103756374416456,0.9009324009324009,0.8136,0.9671,0.9514,1.6291243894533678,0.9894219894300808,1.2794047810814597,0.8166,0.5652173913043478,0.5678571428571428,0.5821969696969697,0.8279178338001868,0.8529411764705883,0.7054,0.8778,0.8667,0.0005
2,1.4030113987300707,0.8561967175939809,1.093629364863686,0.9824,0.9239130434782609,0.9354395604395604,0.925906432748538,0.9835890457581634,0.9813519813519813,0.9487,1.0,0.9984,1.4148605181412264,0.8670282431624152,1.095664543184367,0.8843,0.8695652173913043,0.8583333333333334,0.8638888888888889,0.8916783380018675,0.8627450980392157,0.875,0.9111,0.8667,0.0005
3,1.1013435985731042,0.6886949549550595,0.8252972779066666,0.9993,1.0,1.0,1.0,1.0,1.0,0.9978,1.0,1.0,1.2727453383532437,0.7833959853107278,0.9786987230181694,0.9236,0.8695652173913043,0.8583333333333334,0.8638888888888889,0.9258753501400561,0.8725490196078431,0.9375,0.9222,0.9111,0.0005
4,0.9121831132018048,0.5792058115420134,0.6659546022829802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2398070273074238,0.753834683786739,0.9719446843320673,0.925,0.7391304347826086,0.7511904761904762,0.7510683760683761,0.9212535014005603,0.8921568627450981,0.875,0.9778,0.9222,0.0005
5,0.760630636629851,0.48605503232582753,0.5491512124953063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1776444248177789,0.7147752046585083,0.9257384416731921,0.9503,0.7391304347826086,0.7511904761904762,0.7510683760683761,0.9482084500466854,0.9019607843137255,0.9286,0.9667,0.9556,0.0005
6,0.6723131379355555,0.427515003733013,0.4895962678867838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.167975278063254,0.707779357379133,0.9203918555920775,0.9391,0.782608695652174,0.786904761904762,0.7886557886557888,0.9335054855275444,0.8921568627450981,0.9286,0.9444,0.9444,0.0005
7,0.5681533046390699,0.35795178050580234,0.42040305008058965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1508900733156637,0.6888971765610304,0.9239857853813604,0.9473,0.7391304347826086,0.7511904761904762,0.7492784992784992,0.9592612044817928,0.9215686274509804,0.9643,0.9333,0.9444,0.0005
8,0.5301145776458408,0.3294736701509227,0.40128181265748064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1822928102179007,0.7069121643223546,0.9507612870498137,0.9258,0.7391304347826086,0.7511904761904762,0.7510683760683761,0.9453227124183007,0.9215686274509804,0.9107,0.9,0.9667,0.0005
9,0.47368200706399005,0.2883763795313628,0.37061125636100767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1736612970178777,0.6936178576539863,0.9600868936289441,0.9585,0.782608695652174,0.786904761904762,0.7895299145299145,0.9523459383753502,0.911764705882353,0.9643,0.9556,0.9556,0.0005
10,0.4425054990726969,0.2639392793178558,0.3571324400279833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2345760810104283,0.7253521992401644,1.0184477743777363,0.9681,0.6956521739130435,0.7154761904761904,0.7046398046398047,0.9661764705882353,0.9313725490196079,0.9821,0.9667,0.9556,0.0005
11,0.40500607438709424,0.23703537142795064,0.335941407084465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2783349132673307,0.7544557265937328,1.0477583713152192,0.9614,0.6956521739130435,0.7154761904761904,0.7055555555555555,0.9474439775910365,0.8921568627450981,0.9732,0.9444,0.9667,0.0005
12,0.38233429374902145,0.21857530280299808,0.3275179796892664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2411223141984506,0.732837238772349,1.0165701230818576,0.9644,0.6956521739130435,0.7154761904761904,0.7055555555555555,0.9658496732026144,0.9411764705882353,0.9821,0.9444,0.9667,0.00025
13,0.3641137795603794,0.20421021140140036,0.3198071343743283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2295266403393312,0.7246215705844489,1.0098101317205213,0.9704,0.8260869565217391,0.8226190476190476,0.8271173271173271,0.9591503267973857,0.8921568627450981,1.0,0.9444,0.9667,0.00025
14,0.341857724474824,0.18852259089117465,0.30667026600112085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2514662183821201,0.7407554337246851,1.0214215530590578,0.9667,0.782608695652174,0.786904761904762,0.7895299145299145,0.9535947712418301,0.8921568627450981,1.0,0.9333,0.9667,0.00025
15,0.3418819523375967,0.1885395248946936,0.30668485644071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3184160210869529,0.7805838102305477,1.0756644210354849,0.9593,0.7391304347826086,0.7511904761904762,0.7484848484848485,0.9508169934640524,0.8921568627450981,1.0,0.9222,0.9556,0.00025
16,0.3222127415563749,0.17345164774552635,0.2975221858076427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.27798286520622,0.7501087290319529,1.0557482872496953,0.9667,0.782608695652174,0.786904761904762,0.786904761904762,0.9535947712418301,0.8921568627450981,1.0,0.9444,0.9556,0.000125
17,0.3132309597471486,0.16749479336583095,0.29147232978240306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.287657574496486,0.7570271358232606,1.0612608759917996,0.9667,0.782608695652174,0.786904761904762,0.7909451659451661,0.9535947712418301,0.8921568627450981,1.0,0.9444,0.9556,0.000125
18,0.3136038628609284,0.1660524264625881,0.29510287033474963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2955054562877526,0.7626395929943431,1.0657317475839094,0.9704,0.7391304347826086,0.7511904761904762,0.7525252525252526,0.9563725490196079,0.8921568627450981,1.0,0.9444,0.9667,0.000125
19,0.3229560805403668,0.1724275304571442,0.30105709796366487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.277273816479878,0.7553235436366363,1.0439005395905538,0.9667,0.782608695652174,0.786904761904762,0.7909451659451661,0.9563725490196079,0.8921568627450981,1.0,0.9333,0.9667,0.000125
20,0.30494621849578357,0.15944072565306788,0.29101098322350044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.252200303429907,0.7395780719816685,1.0252444801682776,0.9778,0.782608695652174,0.786904761904762,0.7909451659451661,0.9563725490196079,0.8921568627450981,1.0,0.9556,0.9778,6.25e-05
21,0.30960972347985144,0.16235184397386468,0.2945157581049463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.267951845784079,0.7479880049147389,1.0399276736107739,0.9815,0.8260869565217391,0.8226190476190476,0.8315628815628815,0.9591503267973857,0.8921568627450981,1.0,0.9667,0.9778,6.25e-05
22,0.30736676571161853,0.1596405305940172,0.2954524702352026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2385374825786462,0.7309798528863625,1.0151152590459043,0.9815,0.8695652173913043,0.8583333333333334,0.8645299145299145,0.9619281045751634,0.8921568627450981,1.0,0.9667,0.9778,6.25e-05
23,0.3127562596746113,0.1628641409718472,0.299784236498501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2674116488884797,0.7503705159337684,1.034082268788056,0.9741,0.8695652173913043,0.8583333333333334,0.8645299145299145,0.9563725490196079,0.8921568627450981,1.0,0.9444,0.9778,6.25e-05
24,0.29480246797851895,0.15065282434225083,0.2882992850697559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3076134855774315,0.7643571310591969,1.0865127251229503,0.9815,0.7391304347826086,0.7511904761904762,0.7525252525252526,0.9591503267973857,0.8921568627450981,1.0,0.9667,0.9778,3.125e-05
25,0.2908343194619469,0.14838515623756077,0.28489832528259446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.250482897866856,0.7391291125254198,1.0227075347846204,0.9815,0.8260869565217391,0.8226190476190476,0.8271173271173271,0.9616013071895425,0.9019607843137255,1.0,0.9667,0.9778,3.125e-05
26,0.29513502600400343,0.15126814459976942,0.2877337591803592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2724070183255456,0.7530164112421599,1.0387812192467125,0.9815,0.782608695652174,0.786904761904762,0.7909451659451661,0.9591503267973857,0.8921568627450981,1.0,0.9667,0.9778,3.125e-05
27,0.2959889054298401,0.15119928121566772,0.28957924596641377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2620769268409773,0.7467229101298885,1.0307080410420895,0.9815,0.782608695652174,0.786904761904762,0.7909451659451661,0.9591503267973857,0.8921568627450981,1.0,0.9667,0.9778,3.125e-05
