epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.4434916599937107,0.890530802892602,1.105921709537506,0.9996,0.9891304347826086,0.9910714285714286,0.9886977886977888,1.0,1.0,0.9989,1.0,1.0,1.3992612944407896,0.8601128269325603,1.0782969323071567,0.9316,0.6956521739130435,0.7071428571428572,0.6836496836496837,0.9442460317460317,0.9821428571428572,0.8393,0.9556,1.0,0.0005
2,0.9766408293143563,0.633996454010839,0.6852887485338294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.310261309146881,0.798484090376984,1.0235544504089789,0.9155,0.6086956521739131,0.6375,0.628030303030303,0.9321454678362573,0.9553571428571428,0.8304,0.9556,0.9605,0.0005
3,0.7043738271879113,0.4676233156867649,0.4735010323317155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1351913159543818,0.6995832418853586,0.8712161501700227,0.9458,0.9130434782608695,0.9142857142857144,0.9142857142857144,0.9687996031746031,1.0,0.8929,0.9444,1.0,0.0005
4,0.5457800507545472,0.3607601839563121,0.37003972945006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1951728625731035,0.7074211009524085,0.9755035110495307,0.9762,0.782608695652174,0.7928571428571428,0.7759115884115884,0.9776785714285714,0.9821428571428572,0.9286,1.0,1.0,0.0005
5,0.43370255283687426,0.28165958523750306,0.3040859367536462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2072255232117393,0.7089481709355657,0.9965547153895552,0.9747,0.8260869565217391,0.8428571428571429,0.8458333333333334,0.9765873015873016,0.9821428571428572,0.9464,0.9778,1.0,0.0005
6,0.3625367796939352,0.2271039912234182,0.2708655779776366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3021691197698766,0.7476877261969176,1.1089627922258594,0.9562,0.7391304347826086,0.7446428571428572,0.7582070707070707,0.9604506056808688,0.9732142857142856,0.8929,0.9889,0.9868,0.0005
7,0.30678418511929717,0.18338798478893611,0.24679239858751711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3123269413005223,0.7395696087994359,1.1455146538263017,0.9695,0.7391304347826086,0.7714285714285714,0.7486928104575163,0.9682043650793651,0.9642857142857143,0.9196,0.9889,1.0,0.0005
8,0.27001692419466766,0.1540441147659136,0.23194561782090561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.389190611514178,0.7548219866373322,1.2687372429804369,0.9665,0.6956521739130435,0.7357142857142858,0.7,0.9749007936507936,1.0,0.9107,0.9889,1.0,0.00025
9,0.25214428901672364,0.1388137253082317,0.22666112897188767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3417714068835431,0.7425234153528105,1.1984959789975123,0.9665,0.7391304347826086,0.7714285714285714,0.7486928104575163,0.9749007936507936,1.0,0.9107,0.9889,1.0,0.00025
10,0.23575882717319158,0.12492354415033174,0.22167056617529496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3791873495687137,0.7747580911964178,1.2088585177605802,0.9695,0.7391304347826086,0.7714285714285714,0.7611111111111111,0.9749007936507936,0.9910714285714286,0.9196,0.9889,1.0,0.00025
11,0.2251111072042714,0.11503053488938705,0.22016114437061807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5016726299443028,0.829820001667196,1.3437052138827064,0.9606,0.6521739130434783,0.7,0.649179292929293,0.9704365079365079,1.0,0.8929,0.9889,1.0,0.00025
12,0.21481540786183398,0.10613505684811136,0.21736070539640343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4616770161823793,0.8247238191013987,1.2739063941619613,0.9576,0.7391304347826086,0.7714285714285714,0.760290404040404,0.9659722222222222,0.9910714285714286,0.8839,0.9889,1.0,0.000125
