condition,accuracy,balanced_accuracy,macro_f1,macro_auc,binary_auc,embedding_cosine_to_clean,accuracy_retained,macro_auc_retained,binary_auc_retained
clean,0.9043478260869564,0.9047619047619048,0.9039310689310689,0.990329131652661,0.996078431372549,1.0,1.0,1.0,1.0
electrode_dropout_5pct,0.9043478260869564,0.9047619047619048,0.9039310689310689,0.9899918300653596,0.996078431372549,0.9994577796562858,1.0,0.9996594045590292,1.0
electrode_dropout_10pct,0.9043478260869564,0.9047619047619048,0.9045876345876346,0.9903728991596639,0.9980392156862745,0.9980527660121088,1.0,1.0000441949101606,1.0019685039370079
electrode_dropout_20pct,0.8869565217391304,0.8876190476190476,0.888102591852592,0.9887062324929972,0.9980392156862745,0.9929156163464422,0.9807692307692308,0.9983612527312454,1.0019685039370079
snr_20dB,0.9043478260869564,0.9047619047619048,0.9039310689310689,0.990329131652661,0.996078431372549,0.9999803885169651,1.0,1.0,1.0
snr_10dB,0.9043478260869564,0.9047619047619048,0.9039310689310689,0.990329131652661,0.996078431372549,0.9994555302288222,1.0,1.0,1.0
snr_5dB,0.9043478260869564,0.9047619047619048,0.9039310689310689,0.990547385620915,0.996078431372549,0.994614871688511,1.0,1.0002203852853342,1.0
