epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.4564769786337148,0.8952656253524448,1.1224227013795272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.504736144434322,0.9201494685628198,1.1691733666441657,0.8558,0.6521739130434783,0.7023809523809524,0.6228632478632479,0.8986943461595164,0.9607843137254902,0.6429,0.9902,0.9342,0.0005
2,0.9865855818209441,0.6379237506700599,0.6973236607468647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3738795965909958,0.8366208936680447,1.0745174139738083,0.8349,0.6956521739130435,0.7321428571428571,0.7,0.8681814831195636,0.9411764705882353,0.5804,0.9902,0.9342,0.0005
3,0.7310021675151327,0.48373424073924187,0.49453586028969804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4625741988420486,0.8754973926327445,1.1741536300290714,0.834,0.6086956521739131,0.6279761904761905,0.616117216117216,0.8630606848002358,0.9509803921568627,0.6071,0.9608,0.9342,0.0005
4,0.5694653588792552,0.37740051331727403,0.3841296921605649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3392493216828867,0.8088643428954211,1.0607699555429546,0.9019,0.7391304347826086,0.7470238095238095,0.7571428571428572,0.9362238316379183,0.9901960784313726,0.7321,1.0,0.9737,0.0005
5,0.4485749335392662,0.2924189777477928,0.31231190691823546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3444773548028686,0.7844536064023321,1.120047466321425,0.9136,0.782608695652174,0.8095238095238095,0.7833333333333334,0.9414252543122512,0.9803921568627452,0.7768,0.9902,0.9737,0.0005
6,0.38325735797052796,0.24022537158883137,0.28606397289296853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5372212305665016,0.9310607043179598,1.2123210443691774,0.9391,0.782608695652174,0.7559523809523809,0.7787433155080213,0.93937509214212,0.9313725490196079,0.8304,1.0,0.9868,0.0005
7,0.3397510658139768,0.20464197630467623,0.27021818005520365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4768535833467136,0.8831190700558099,1.187469006600705,0.9304,0.8260869565217391,0.8244047619047619,0.8244047619047619,0.9476195083296477,0.9901960784313726,0.8571,1.0,0.9342,0.0005
8,0.2847351081993269,0.162351858097574,0.24476650305416273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4505718181079084,0.8453617969697172,1.2104200487109749,0.9093,0.782608695652174,0.7946428571428572,0.7689185814185815,0.9268575851393189,0.9705882352941178,0.7411,1.0,0.9868,0.0005
9,0.24705827378708384,0.1337974529551423,0.22652164244133494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4889455376700922,0.8756375366991217,1.2266159829768268,0.8916,0.782608695652174,0.7946428571428572,0.7689185814185815,0.9204974753059119,0.9803921568627452,0.7143,1.0,0.9605,0.00025
10,0.23350957437701847,0.12162994509157928,0.2237592602553575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.487102429975163,0.8536822103302587,1.2668404416604475,0.9079,0.6956521739130435,0.7113095238095237,0.7003205128205128,0.9231304363850803,0.9509803921568627,0.75,1.0,0.9737,0.00025
11,0.22108644635780997,0.11099922449692436,0.2201744434626206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5612144825810736,0.9101913227615032,1.3020463152365251,0.9154,0.782608695652174,0.7886904761904762,0.7836538461538461,0.933671494913755,0.9705882352941178,0.7857,1.0,0.9605,0.00025
12,0.2060089542813923,0.09846834177556245,0.2150812248820844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5818149098618464,0.9357740030708638,1.2920818064700474,0.9198,0.7391304347826086,0.7529761904761905,0.7355769230769231,0.9347288257408227,0.9705882352941178,0.7857,1.0,0.9737,0.00025
13,0.19718704068142434,0.09079873114824295,0.2127766191959381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5881481553343209,0.9372068291360681,1.3018826395273209,0.9258,0.7391304347826086,0.7529761904761905,0.7355769230769231,0.9345099882058087,0.9607843137254902,0.8036,1.0,0.9737,0.000125
14,0.19323258024194967,0.08697300222904786,0.2125191558962283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.659320449625904,0.972289964556694,1.374060957269235,0.9228,0.6956521739130435,0.7113095238095237,0.7003205128205128,0.9345099882058087,0.9607843137254902,0.7946,1.0,0.9737,0.000125
