epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.4423547381940096,0.8843019583950872,1.1161055497501207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4744770716537128,0.907294322821227,1.1343654922463677,0.8983,0.6956521739130435,0.7011904761904763,0.7104166666666667,0.9042075163398693,0.8529411764705883,0.8393,0.9667,0.8889,0.0005
2,0.9827096099438875,0.6329301007415937,0.6995590158130811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2773218127814205,0.7784813100641425,0.9976810040799055,0.9339,0.6956521739130435,0.7035714285714285,0.7138888888888888,0.9269170168067227,0.8725490196078431,0.9018,1.0,0.9,0.0005
3,0.7134739186452783,0.470837924791419,0.4852719918541286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3244760578328914,0.8024836717681452,1.0439847714521668,0.8977,0.7391304347826086,0.7511904761904762,0.7484848484848485,0.914767156862745,0.9215686274509804,0.9375,0.9222,0.8333,0.0005
4,0.54893485929655,0.3619822743146316,0.3739051691863848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45447888225317,0.8583211946216497,1.1923153481700204,0.8753,0.6521739130434783,0.6738095238095239,0.6638694638694639,0.8658700980392158,0.7843137254901962,0.8036,0.9,0.9222,0.0005
5,0.44422427027121836,0.28678404973900834,0.31488044132357057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4777304895899512,0.8560277436944571,1.2434054978869178,0.9013,0.6956521739130435,0.7154761904761904,0.7102904040404041,0.8919555322128851,0.8529411764705882,0.8482,0.9556,0.9,0.0005
6,0.3726939696332683,0.23210764307042828,0.28117265234822814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.538626173680479,0.8809168779037215,1.3154185942628167,0.9117,0.6521739130434783,0.6595238095238095,0.6666666666666666,0.8921130952380952,0.8333333333333333,0.9018,0.9667,0.8667,0.0005
7,0.31355034683061683,0.1879822385051976,0.25113621509593465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4876761084253138,0.8555897884070873,1.26417262615128,0.9361,0.6521739130434783,0.6738095238095239,0.6678571428571429,0.9149918300653596,0.8627450980392157,0.875,0.9667,0.9667,0.00025
8,0.2862990633301113,0.1667732862026795,0.239051553606987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5561177672987634,0.8954560573805462,1.3213234377855605,0.9265,0.6521739130434783,0.6654761904761904,0.6763888888888889,0.9129785247432307,0.8725490196078431,0.8571,0.9667,0.9556,0.00025
9,0.2642262585785078,0.14854613814664924,0.23136024371437405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6021234880794177,0.9259971431033178,1.3522527004507454,0.9235,0.6521739130434783,0.6654761904761904,0.6763888888888889,0.9133549253034547,0.8627450980392157,0.8929,0.9444,0.9333,0.00025
10,0.24654115205225738,0.13339394525341366,0.22629441385683807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6141996837475083,0.9316755695776506,1.365048249675469,0.9369,0.6521739130434783,0.6654761904761904,0.6763888888888889,0.9238124416433241,0.8823529411764707,0.9107,0.9444,0.9556,0.00025
