epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.4476481282192728,0.8887787233228269,1.1177388160125068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3389354280450128,0.842344733801755,0.9931813966144215,0.9585,0.8695652173913043,0.8726190476190476,0.8688311688311688,0.9802871148459384,0.9901960784313726,0.9643,0.9111,1.0,0.0005
2,0.9930791963701663,0.6393177016921665,0.7075229867644932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2330555793913929,0.7841454527594827,0.8978202627463774,0.9502,0.782608695652174,0.7785714285714286,0.7849358974358975,0.9579656862745098,0.9901960784313726,0.8839,0.9667,1.0,0.0005
3,0.7317775985468988,0.48154681195383486,0.5004615762959356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0983645204793324,0.685614178803834,0.8255006718364629,0.9681,0.9130434782608695,0.9285714285714286,0.9163752913752914,0.9782738095238095,1.0,0.9375,0.9778,0.9889,0.0005
4,0.5522153794765472,0.36444061113440473,0.3755495289097662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9930951656265692,0.6155974505977198,0.7549954361536286,0.977,0.8695652173913043,0.8785714285714286,0.8663752913752913,0.9827380952380953,1.0,0.9643,0.9667,1.0,0.0005
5,0.4425263594026151,0.2853014439344406,0.31444983352785527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9740806872194464,0.5794328654354269,0.7892956273122267,0.9807,0.9130434782608695,0.9226190476190477,0.9188311688311688,0.9830648926237162,0.9901960784313726,0.9643,0.9778,1.0,0.0005
6,0.35766525501790253,0.22257138088993403,0.27018774864466294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.143414350395853,0.6872964870523323,0.9122357124632056,0.9777,0.8260869565217391,0.8428571428571429,0.8233766233766233,0.9832837301587302,1.0,0.9554,0.9778,1.0,0.0005
7,0.3134779849778051,0.18645298105219135,0.25405000888782997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.158730074763298,0.6946594767611135,0.9281411888924512,0.9725,0.8695652173913043,0.8666666666666667,0.8781045751633987,0.9769140989729225,0.9901960784313726,0.9286,0.9889,1.0,0.0005
8,0.277228567911231,0.15539053445277007,0.24367606380711432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1531054963442413,0.6868280607529662,0.93255485763604,0.9747,0.9130434782608695,0.9142857142857144,0.9142857142857144,0.9810515873015873,1.0,0.9464,0.9778,1.0,0.0005
9,0.24913547881271528,0.13163234461908754,0.23500626903513203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3211195387623527,0.7976847075941887,1.046869669109583,0.9628,0.8695652173913043,0.8785714285714286,0.8730769230769231,0.9743551587301588,1.0,0.9107,0.9778,1.0,0.0005
10,0.22096405560555665,0.11001059814639713,0.2219069162140722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2518046582964333,0.7652553673833609,0.9730985909700394,0.9718,0.9130434782608695,0.9142857142857144,0.9142857142857144,0.9765873015873016,1.0,0.9375,0.9778,1.0,0.00025
11,0.20978230004725248,0.10055700670117917,0.21845058695129727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2434549707580695,0.7449586813084104,0.9969925541769374,0.9658,0.9130434782608695,0.9142857142857144,0.9142857142857144,0.9765873015873016,1.0,0.9196,0.9778,1.0,0.00025
12,0.1985714686953503,0.09084604933210041,0.2154508404109789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.275455288250338,0.7675118729133498,1.0158867978236892,0.9658,0.8695652173913043,0.8726190476190476,0.8772727272727272,0.9765873015873016,1.0,0.9196,0.9778,1.0,0.00025
13,0.18976141020007756,0.08305225748082866,0.21341830647510032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4155260923911224,0.8605326496233995,1.1099868701262907,0.9658,0.9130434782608695,0.9142857142857144,0.9142857142857144,0.9765873015873016,1.0,0.9196,0.9778,1.0,0.00025
